Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
ARI,NE,TB,@BUF,LAR,@SF,NYJ,SEA,@CAR,BYE,SF,@MIN,@ATL,WAS,@MIA,NO,@SEA,@LAR
ATL,TB,@LV,@NO,CAR,@DEN,@SEA,LAC,GB,@TB,@PHI,BYE,ARI,KC,@LAR,SF,@CAR,NO
BAL,BUF,@CLE,@JAX,LV,WAS,@NYG,@NYJ,BYE,PIT,CLE,@DAL,CIN,MIA,@NE,PHI,@PIT,@CIN
BUF,@BAL,NYJ,ARI,@NE,@LAR,SF,@MIA,NE,@SEA,BYE,@CIN,JAX,@LV,PIT,CLE,MIA,@NYJ
CAR,@DEN,SF,MIN,@ATL,TB,@NO,BYE,ARI,@LAR,KC,NO,@LV,@SEA,LAC,@WAS,ATL,@TB
CHI,@HOU,PHI,@DAL,DET,@IND,JAX,@GB,MIN,BYE,@TB,@NYG,TEN,SF,@DET,GB,WAS,@MIN
CIN,@NYJ,@PIT,DEN,MIA,@DAL,@NE,CLE,WAS,BYE,@NYG,BUF,@BAL,PHI,@CLE,PIT,@HOU,BAL
CLE,@PHI,BAL,@MIA,@WAS,NE,@TEN,@CIN,NYJ,DAL,@BAL,PIT,NYG,BYE,CIN,@BUF,LAC,@PIT
DAL,NYG,@WAS,CHI,@SF,CIN,@GB,BYE,PHI,@CLE,@PIT,BAL,WAS,@MIN,@NYG,TB,DET,@PHI
DEN,CAR,IND,@CIN,@TB,ATL,@LAC,HOU,LAC,@LV,@NO,BYE,KC,@JAX,@TEN,NE,@KC,LV
DET,@IND,TEN,@GB,@CHI,PHI,LAR,WAS,@HOU,@MIN,BYE,JAX,MIN,@NO,CHI,@NYG,@DAL,GB
GB,@JAX,@MIN,DET,BYE,NYG,DAL,CHI,@ATL,IND,@TEN,@WAS,@PHI,HOU,SEA,@CHI,MIN,@DET
HOU,CHI,KC,@NE,TEN,@MIN,IND,@DEN,DET,BYE,@JAX,@LV,LAC,@GB,@IND,JAX,CIN,@TEN
IND,DET,@DEN,LAC,@JAX,CHI,@HOU,@TEN,KC,@GB,BYE,TEN,PIT,@NYJ,HOU,@MIN,@LV,JAX
JAX,GB,@LAC,BAL,IND,BYE,@CHI,LV,@TEN,@KC,HOU,@DET,@BUF,DEN,MIN,@HOU,TEN,@IND
KC,LAC,@HOU,NYJ,@PIT,BYE,@LV,NO,@IND,JAX,@CAR,TB,@DEN,@ATL,LV,TEN,DEN,@LAC
LAC,@KC,JAX,@IND,NO,@LV,DEN,@ATL,@DEN,TEN,MIA,BYE,@HOU,TB,@CAR,LV,@CLE,KC
LAR,@SF,SEA,@TB,@ARI,BUF,@DET,NYG,BYE,CAR,@NYJ,MIA,@NO,@NE,ATL,@SEA,SF,ARI
LV,@NO,ATL,@TEN,@BAL,LAC,KC,@JAX,@TB,DEN,BYE,HOU,CAR,BUF,@KC,@LAC,IND,@DEN
MIA,@SEA,@NE,CLE,@CIN,TEN,PIT,BUF,BYE,NYJ,@LAC,@LAR,SF,@BAL,ARI,@NYJ,@BUF,NE
MIN,@TEN,GB,@CAR,NYG,HOU,BYE,@PHI,@CHI,DET,@WAS,ARI,@DET,DAL,@JAX,IND,@GB,CHI
NE,@ARI,MIA,HOU,BUF,@CLE,CIN,@PIT,@BUF,BYE,SEA,@SF,@NYJ,LAR,BAL,@DEN,NYJ,@MIA
NO,LV,@NYG,ATL,@LAC,BYE,CAR,@KC,SEA,@SF,DEN,@CAR,LAR,DET,@TB,@ARI,TB,@ATL
NYG,@DAL,NO,WAS,@MIN,@GB,BAL,@LAR,BYE,PHI,CIN,CHI,@CLE,@PIT,DAL,DET,@PHI,@WAS
NYJ,CIN,@BUF,@KC,SEA,@PIT,@ARI,BAL,@CLE,@MIA,LAR,BYE,NE,IND,@SF,MIA,@NE,BUF
PHI,CLE,@CHI,PIT,BYE,@DET,@WAS,MIN,@DAL,@NYG,ATL,@SEA,GB,@CIN,WAS,@BAL,NYG,DAL
PIT,@WAS,CIN,@PHI,KC,NYJ,@MIA,NE,BYE,@BAL,DAL,@CLE,@IND,NYG,@BUF,@CIN,BAL,CLE
SEA,MIA,@LAR,SF,@NYJ,BYE,ATL,@ARI,@NO,BUF,@NE,PHI,@TB,CAR,@GB,LAR,ARI,@SF
SF,LAR,@CAR,@SEA,DAL,ARI,@BUF,TB,BYE,NO,@ARI,NE,@MIA,@CHI,NYJ,@ATL,@LAR,SEA
TB,@ATL,@ARI,LAR,DEN,@CAR,BYE,@SF,LV,ATL,CHI,@KC,SEA,@LAC,NO,@DAL,@NO,CAR
TEN,MIN,@DET,LV,@HOU,@MIA,CLE,IND,JAX,@LAC,GB,@IND,@CHI,BYE,DEN,@KC,@JAX,HOU
WAS,PIT,DAL,@NYG,CLE,@BAL,PHI,@DET,@CIN,BYE,MIN,GB,@DAL,@ARI,@PHI,CAR,@CHI,NYG
